kode_pintu	tinggi_air	kode_kota	banjir
20	2310	2	1
13	1870	2	1
13	1870	2	1
6	0	2	1
4	2300	0	1
4	2300	0	1
11	6600	0	1
11	6600	0	1
11	6600	0	1
11	6600	0	1
4	2300	0	1
5	3400	0	1
5	3400	0	1
0	730	0	1
5	3400	0	1
7	980	0	1
9	8830	0	1
12	2040	2	1
14	-1080	2	1
8	4050	0	1
13	1840	2	1
2	3440	1	1
17	2340	4	1
15	3580	0	1
19	2710	3	1
16	1240	1	1
10	160	3	1
18	2950	3	1
0	800	0	1
6	0	2	1
20	2310	2	1
9	8870	0	1
10	320	3	1
12	2040	2	1
14	-1240	2	1
7	960	0	1
8	4050	0	1
2	3440	1	1
17	2430	4	1
13	1840	2	1
19	2720	3	1
15	3590	0	1
16	1240	1	1
18	2950	3	1
20	2290	2	1
15	3600	0	1
6	0	2	1
7	940	0	1
8	3900	0	1
13	1840	2	1
16	1240	1	1
18	2960	3	1
20	2280	2	1
6	0	2	1
0	960	0	1
4	2300	0	1
9	8910	0	1
10	470	3	1
12	2060	2	1
4	2300	0	1
14	-1600	2	1
3	1400	1	1
2	3440	1	1
17	2480	4	1
3	1400	1	1
19	2740	3	1
3	1400	1	1
3	1400	1	1
5	3450	0	1
5	3450	0	1
0	980	0	1
7	900	0	1
9	9010	0	1
10	550	3	1
12	2080	2	1
8	3690	0	1
14	-1310	2	1
13	1780	2	1
15	3550	0	1
17	2510	4	1
16	1240	1	1
19	2770	3	1
18	2900	3	1
20	2240	2	1
0	1130	0	1
15	3510	0	1
6	0	2	1
9	9070	0	1
10	540	3	1
12	2110	2	1
7	860	0	1
14	-1620	2	1
17	2520	4	1
8	3470	0	1
19	2790	3	1
13	1700	2	1
16	1240	1	1
18	2910	3	1
20	2200	2	1
7	840	0	1
13	1670	2	1
9	9110	0	1
10	480	3	1
11	7190	0	1
12	2110	2	1
15	3420	0	1
14	-1150	2	1
16	1240	1	1
17	2590	4	1
6	0	2	1
19	2790	3	1
4	2400	0	1
11	7190	0	1
11	7190	0	1
11	7190	0	1
11	7190	0	1
11	7190	0	1
4	2400	0	1
5	2100	0	1
5	2100	0	1
0	1360	0	1
5	2100	0	1
8	3260	0	1
18	2910	3	1
0	1590	0	1
20	2200	2	1
7	800	0	1
9	9190	0	1
10	570	3	1
11	7220	0	1
12	2120	2	1
6	0	2	1
14	-1330	2	1
8	3110	0	1
13	1610	2	1
17	2650	4	1
15	3330	0	1
19	2790	3	1
16	1240	1	1
18	2920	3	1
0	1440	0	1
20	2170	2	1
6	0	2	1
9	9270	0	1
10	720	3	1
11	7260	0	1
12	2110	2	1
3	1300	1	1
14	-1340	2	1
4	2400	0	1
17	2700	4	1
3	1300	1	1
19	2780	3	1
3	1300	1	1
3	1300	1	1
7	780	0	1
0	1470	0	1
8	2880	0	1
9	9330	0	1
10	810	3	1
12	2100	2	1
13	1610	2	1
14	-1350	2	1
15	3210	0	1
17	2750	4	1
16	1240	1	1
19	2780	3	1
18	2920	3	1
11	7340	0	1
20	2160	2	1
6	0	2	1
7	760	0	1
9	9340	0	1
10	1030	3	1
11	7330	0	1
12	2070	2	1
8	2700	0	1
14	-1360	2	1
13	1530	2	1
17	2780	4	1
15	3040	0	1
19	2770	3	1
16	1240	1	1
18	2950	3	1
20	2160	2	1
6	0	2	1
5	3450	0	1
5	3450	0	1
5	3450	0	1
4	2400	0	1
4	2400	0	1
4	2400	0	1
9	9310	0	1
10	1080	3	1
12	2050	2	1
7	740	0	1
14	-1180	2	1
8	2530	0	1
13	1480	2	1
17	2810	4	1
15	2940	0	1
19	2730	3	1
16	1240	1	1
11	7340	0	1
18	2940	3	1
16	1240	1	1
16	1240	1	1
9	9310	0	1
10	1240	3	1
11	7290	0	1
12	1990	2	1
20	2130	2	1
14	-1140	2	1
6	0	2	1
7	720	0	1
17	2880	4	1
8	2430	0	1
19	2710	3	1
13	1390	2	1
15	2810	0	1
18	2950	3	1
20	2100	2	1
9	9300	0	1
10	1300	3	1
12	1960	2	1
6	0	2	1
14	-1460	2	1
3	1250	1	1
4	2300	0	1
17	2910	4	1
5	3450	0	1
19	2700	3	1
